1806,2,59
1626,2,57
932,1,54
1807,2,53
470,2,52
1815,1,52
649,2,50
66,2,49
463,1,49
950,1,49
70,1,48
857,2,48
236,2,46
776,2,46
1719,2,45
599,2,44
890,2,44
1497,2,44
740,2,43
1008,1,42
1717,1,42
141,2,41
492,1,41
727,2,41
537,2,40
1386,2,40
1466,1,40
1749,2,40
110,2,39
353,2,39
1562,2,39
417,2,38
488,2,38
851,2,38
1145,1,38
1378,2,38
1390,1,38
1495,2,38
1572,2,38
1639,1,38
149,1,37
313,2,37
677,2,37
1152,2,37
1209,2,37
1420,2,37
1525,2,37
1834,1,37
354,2,36
838,2,36
993,2,36
1063,1,36
1222,1,36
1253,2,36
1453,2,36
1598,2,36
1774,1,36
1841,2,36
1858,2,36
192,1,35
273,1,35
535,2,35
784,1,35
829,1,35
845,2,35
949,1,35
1397,2,35
1523,2,35
1648,2,35
101,1,34
458,2,34
818,2,34
1154,1,34
1339,1,34
1448,1,34
1472,2,34
1498,2,34
1832,2,34
71,1,33
487,2,33
1526,2,33
1747,1,33
36,2,32
253,1,32
307,2,32
658,2,32
860,1,32
1001,1,32
1422,2,32
1473,2,32
1518,2,32
1610,1,32
1765,2,32
38,2,31
45,1,31
106,2,31
280,1,31
522,1,31
578,2,31
825,2,31
877,2,31
1227,2,31
1517,2,31
1621,1,31
1756,1,31
198,2,30
303,1,30
666,2,30
745,2,30
814,2,30
837,2,30
1268,2,30
1310,1,30
1327,2,30
1399,2,30
1405,2,30
1409,2,30
1800,1,30
3,2,29
219,2,29
326,2,29
440,2,29
441,2,29
498,2,29
534,1,29
743,2,29
746,2,29
836,2,29
878,2,29
1172,2,29
1351,2,29
1657,2,29
19,1,28
84,2,28
220,1,28
239,1,28
269,1,28
334,1,28
442,2,28
505,2,28
547,2,28
548,2,28
707,2,28
807,1,28
990,2,28
1285,2,28
1406,1,28
1411,1,28
1586,1,28
1655,1,28
1669,2,28
1753,2,28
177,1,27
444,1,27
477,1,27
629,1,27
653,2,27
700,2,27
713,1,27
907,1,27
954,2,27
1000,1,27
1193,2,27
1431,2,27
1446,1,27
1486,2,27
1511,2,27
1829,2,27
1839,2,27
1846,2,27
44,1,26
65,1,26
189,2,26
238,1,26
240,1,26
289,1,26
411,2,26
413,1,26
423,2,26
664,2,26
799,2,26
810,2,26
826,2,26
923,1,26
988,1,26
1100,1,26
1198,2,26
1429,2,26
1463,2,26
1565,1,26
1698,2,26
1816,1,26
299,1,25
521,2,25
706,1,25
708,2,25
1094,1,25
1162,1,25
1236,2,25
1358,1,25
1410,1,25
1587,2,25
1588,2,25
1701,2,25
5,1,24
147,2,24
203,2,24
291,2,24
292,2,24
306,2,24
319,1,24
324,1,24
339,2,24
350,1,24
500,1,24
526,2,24
556,2,24
559,1,24
634,2,24
840,2,24
883,2,24
894,2,24
896,1,24
974,1,24
987,2,24
1089,2,24
1110,1,24
1210,2,24
1242,2,24
1435,1,24
1492,1,24
1619,2,24
1685,2,24
