886,1,86
3,2,72
1806,2,72
776,2,71
932,1,69
238,1,67
1154,1,61
896,1,56
1847,1,56
210,1,54
1411,1,54
1749,2,53
1815,1,53
492,1,52
857,2,52
1268,2,52
1626,2,52
66,2,51
470,2,51
70,1,50
214,1,50
1572,2,50
106,2,49
236,2,49
649,2,49
1152,2,49
1236,2,49
1358,1,49
1834,1,49
877,2,48
1463,2,48
417,2,47
740,2,47
890,2,47
1466,1,47
1717,1,47
1807,2,46
198,2,45
463,1,45
559,1,45
950,1,45
1378,2,45
1526,2,45
1747,1,45
178,1,44
192,1,44
319,1,44
324,1,44
664,2,44
829,1,44
1285,2,44
1586,1,44
1701,2,44
1719,2,44
578,2,43
677,2,43
1008,1,43
1145,1,43
1420,2,43
488,2,42
937,2,42
1063,1,42
1409,2,42
1448,1,42
38,2,41
273,1,41
599,2,41
727,2,41
1579,1,41
1648,2,41
44,1,40
141,2,40
296,1,40
326,2,40
332,1,40
334,1,40
353,2,40
442,2,40
535,2,40
549,1,40
713,1,40
990,2,40
1497,2,40
1517,2,40
1598,2,40
1707,2,40
101,1,39
239,1,39
269,1,39
354,2,39
498,2,39
806,2,39
814,2,39
1480,1,39
1562,2,39
1599,1,39
1832,2,39
113,2,38
253,1,38
428,1,38
487,2,38
746,2,38
784,1,38
860,1,38
1000,1,38
1028,1,38
1390,1,38
1523,2,38
1588,2,38
1610,1,38
1765,2,38
1858,2,38
71,1,37
299,1,37
313,2,37
386,1,37
411,2,37
536,2,37
818,2,37
826,2,37
827,2,37
851,2,37
949,1,37
1055,2,37
1226,2,37
1323,1,37
1397,2,37
1412,1,37
1587,2,37
1833,2,37
45,1,36
117,2,36
307,2,36
413,1,36
548,2,36
556,2,36
666,2,36
883,2,36
1153,2,36
1172,2,36
1193,2,36
1209,2,36
1410,1,36
1512,1,36
1592,1,36
1685,2,36
1768,1,36
19,1,35
230,2,35
306,2,35
441,2,35
537,2,35
646,2,35
807,1,35
923,1,35
988,1,35
1046,1,35
1129,2,35
1227,2,35
1253,2,35
1316,1,35
1399,2,35
1422,2,35
1429,2,35
1473,2,35
1525,2,35
1621,1,35
1735,1,35
1800,1,35
1857,1,35
291,2,34
521,2,34
653,2,34
658,2,34
711,1,34
838,2,34
878,2,34
1265,2,34
1327,2,34
1391,2,34
1405,2,34
1486,2,34
1492,1,34
1495,2,34
1565,1,34
1625,2,34
1741,2,34
1829,2,34
177,1,33
422,2,33
502,2,33
547,2,33
562,1,33
651,1,33
743,2,33
766,1,33
894,2,33
918,1,33
1032,2,33
1453,2,33
1569,2,33
1657,2,33
1684,1,33
1703,1,33
110,2,32
255,1,32
303,1,32
444,1,32
707,2,32
825,2,32
954,2,32
993,2,32
1111,2,32
1206,2,32
1498,2,32
1534,2,32
1616,1,32
1753,2,32
1846,2,32
168,1,31
209,2,31
522,1,31
558,1,31
820,1,31
987,2,31
1062,1,31
1089,2,31
1115,1,31
1136,2,31
1280,2,31
1326,2,31
1328,1,31
1419,1,31
1472,2,31
1577,2,31
1673,2,31
1706,1,31
1761,1,31
6,2,30
161,1,30
234,2,30
243,2,30
477,1,30
526,2,30
530,1,30
544,1,30
700,2,30
925,1,30
956,2,30
996,2,30
1134,1,30
1386,2,30
1406,1,30
1518,2,30
1555,2,30
1580,1,30
1584,2,30
1655,1,30
1816,1,30
1860,1,30
50,2,29
147,2,29
350,1,29
369,1,29
563,1,29
611,2,29
621,2,29
640,1,29
687,2,29
701,2,29
837,2,29
842,1,29
907,1,29
1222,1,29
1249,2,29
1294,2,29
1340,2,29
1374,2,29
1436,2,29
1513,2,29
1639,1,29
1656,1,29
1669,2,29
1790,2,29
36,2,28
149,1,28
335,1,28
476,1,28
486,1,28
576,2,28
799,2,28
836,2,28
841,1,28
953,1,28
965,1,28
1001,1,28
1052,1,28
1100,1,28
1295,2,28
1332,1,28
1333,2,28
1339,1,28
1446,1,28
1502,2,28
1511,2,28
1756,1,28
1774,1,28
1849,2,28
65,1,27
86,2,27
97,2,27
124,2,27
247,1,27
339,2,27
380,1,27
423,2,27
425,2,27
452,2,27
585,1,27
601,2,27
874,1,27
952,1,27
974,1,27
1079,1,27
1208,2,27
1242,2,27
1260,1,27
1337,1,27
1343,2,27
1417,2,27
1435,1,27
1451,1,27
1519,2,27
1527,2,27
1544,2,27
1619,2,27
1659,2,27
1754,1,27
1773,1,27
1786,2,27
220,1,26
241,2,26
271,1,26
346,2,26
420,1,26
458,2,26
505,2,26
550,2,26
581,2,26
582,2,26
679,2,26
695,1,26
708,2,26
840,2,26
922,2,26
926,1,26
928,2,26
960,1,26
968,1,26
1244,2,26
1281,2,26
1310,1,26
1351,2,26
1425,2,26
1521,2,26
1615,2,26
1711,2,26
1737,1,26
1799,1,26
5,1,25
135,2,25
145,2,25
166,1,25
278,1,25
311,1,25
435,2,25
445,2,25
485,2,25
629,1,25
724,1,25
892,2,25
947,2,25
978,2,25
1035,2,25
1210,2,25
1212,2,25
1252,1,25
1255,2,25
1320,2,25
1431,2,25
1434,2,25
1452,2,25
1841,2,25
82,2,24
84,2,24
169,2,24
248,2,24
289,1,24
340,2,24
345,2,24
373,1,24
384,2,24
456,2,24
539,2,24
552,2,24
583,1,24
613,2,24
614,1,24
670,2,24
691,2,24
706,1,24
747,2,24
748,2,24
787,2,24
798,2,24
