12 2 3 1 0.875
12 2 3 1 0.23333333333333334
3 1 12 2 0.2
3 1 12 2 0.75
3 1 42 1 0.2
3 1 42 1 1.0
3 1 41 1 0.13333333333333333
3 1 41 1 0.8
41 1 3 1 0.8
41 1 3 1 0.13333333333333333
41 1 12 2 0.2
41 1 12 2 0.125
42 1 3 1 1.8333333333333333
42 1 3 1 0.36666666666666664
3 1 67 1 0.1
3 1 67 1 1.0
67 1 3 1 0.6666666666666666
67 1 3 1 0.06666666666666667
3 1 109759 1 0.03333333333333333
3 1 109759 1 0.16666666666666666
3 1 99161 2 0.4666666666666667
3 1 99161 2 0.2153846153846154
3 1 142525 2 0.03333333333333333
3 1 142525 2 1.0
14497 1 40768 2 0.125
14497 1 109394 1 1.0
14497 1 99161 2 0.015384615384615385
14497 1 14390 2 0.1111111111111111
14390 2 232163 1 2.0
14390 2 232163 1 0.20454545454545456
14390 2 37749 1 0.3333333333333333
14390 2 37749 1 1.0
14390 2 163781 1 0.1111111111111111
14390 2 163781 1 1.0
14390 2 226653 1 2.2222222222222223
14390 2 226653 1 0.8695652173913043
14390 2 99161 2 0.3333333333333333
14390 2 99161 2 0.046153846153846156
213798 2 188016 1 0.3333333333333333
213798 2 188016 1 1.0
343717 1 343984 2 0.1111111111111111
343717 1 343984 2 1.0
136414 1 248935 1 0.3333333333333333
136414 1 248935 1 1.0
124337 1 232163 1 0.011363636363636364
81682 1 32643 1 0.2857142857142857
135977 1 117663 1 1.0
348296 2 219262 1 0.5
4962 1 109759 1 3.0
4962 1 109759 1 0.5
4962 1 3933 2 1.0
4962 1 3933 2 1.0
4962 1 3 1 2.0
4962 1 3 1 0.06666666666666667
12 2 232163 1 0.125
12 2 232163 1 0.011363636363636364
6843 1 40768 2 0.125
6843 1 14390 2 0.1111111111111111
109759 1 99161 2 0.3333333333333333
109759 1 99161 2 0.03076923076923077
156218 2 109759 1 1.0
156218 2 109759 1 0.16666666666666666
67 1 41 1 0.3333333333333333
67 1 41 1 0.2
114 1 3 1 0.13333333333333333
196478 2 99161 2 0.015384615384615385
280674 1 294546 2 1.0
109394 1 226653 1 3.0
109394 1 226653 1 0.13043478260869565
109394 1 14390 2 2.0
109394 1 14390 2 0.2222222222222222
188016 1 213798 2 3.0
188016 1 213798 2 1.0
42 1 32643 1 0.6666666666666666
42 1 32643 1 0.5714285714285714
99161 2 134141 2 0.015384615384615385
99161 2 134141 2 1.0
153403 2 156218 2 1.0
3 1 343717 1 0.13333333333333333
3 1 343717 1 0.4444444444444444
3 1 319381 2 0.06666666666666667
3 1 319381 2 0.3333333333333333
3 1 411742 2 0.06666666666666667
3 1 411742 2 1.0
3 1 39923 1 0.06666666666666667
3 1 39923 1 1.0
538278 2 356883 2 1.0
