901495966585271 2 41
1078710875481660 2 41
623600634448100 2 40
807630086026374 2 40
911177838973586 1 40
914279135315041 1 40
933433563410713 2 40
935173853224499 2 40
937841882972066 1 40
960351554045671 1 40
960614947353476 2 40
984897514923970 2 40
987880924584353 1 40
1014019208618159 2 40
1014940011882871 1 40
1023398891016548 1 40
1032569676763279 2 40
1077771258913719 1 40
1105696619449938 2 40
1123300291023639 2 40
1124186137599160 2 40
1166826889997533 2 40
1184860318197081 2 40
1220351304646104 2 40
1221224321225700 1 40
1232652280084377 1 40
1233562309993244 2 40
1248082838540276 1 40
1256389231042972 1 40
1681070542134128 1 40
1727582330794264 1 40
614178708720376 1 39
766930853452941 2 39
889409991135975 1 39
913549795394246 2 39
925880317467233 2 39
939516619452505 2 39
967904599955040 2 39
1028653463824691 1 39
1050199278364640 1 39
1073356202688012 2 39
1090287074323529 2 39
1229652130384191 2 39
1354951031188031 1 39
790968584383170 2 38
903623236399705 2 38
904443289632916 1 38
908118775936371 2 38
937929102962892 2 38
1027434413944487 1 38
1050724671615297 1 38
1228786040471567 2 38
1317304811629412 1 38
10203880006679186 2 38
942616895793864 2 37
956629617745632 2 37
956972327718836 2 37
1034959829857767 2 37
1101329859886525 2 37
1129398727079879 2 37
1250197474995429 2 37
903129263096378 2 36
918674431549784 2 36
919095068158581 2 36
1047589671958261 2 36
1082189811791090 2 36
1197396616940652 1 36
1201741979840535 2 36
1212445988771604 2 36
731073113660516 2 35
771836412921741 2 35
897893446932444 2 35
925383620871969 2 35
936647243089685 1 35
936829496397201 1 35
937957059621323 2 35
1041157822588968 1 35
1046053772082459 2 35
1084040388286472 2 35
1093204377378581 2 35
1147744198586379 1 35
1200973003252038 2 35
1217993504882905 2 35
1674454176132601 2 35
10203491633931396 2 35
10205176627366808 2 35
479959658795658 1 34
645204315621454 1 34
758760494228794 2 34
780446192082844 2 34
865303163569055 1 34
915336151885404 2 34
922931391130885 2 34
925590404157498 2 34
937243763021798 2 34
947699415310665 2 34
975594029160069 1 34
975699722490430 1 34
1000385139983253 2 34
1066259990061332 2 34
1128896673789785 2 34
1145080295504082 2 34
1148376598520871 2 34
1156515177710160 2 34
1257538630929169 2 34
1676915749260470 2 34
746189708820204 2 33
791506744329170 2 33
894912247272485 2 33
898693440207743 1 33
898889396846582 2 33
928304517263246 2 33
941151165966839 1 33
942611969155678 2 33
952757091460041 2 33
973165849425247 1 33
1008266352568672 2 33
1019834908083111 1 33
1029057807151391 2 33
1033535383374384 1 33
1037703619583093 1 33
1050429491643540 2 33
1051035748250804 1 33
1054742631210783 2 33
1083118418374239 1 33
1094149680604537 2 33
1134260769925236 2 33
1205446956136308 2 33
1235292013154568 2 33
1242535595762735 1 33
1260448923970479 1 33
1365103273506074 1 33
1704107803160274 2 33
626915640779663 2 32
676401039164139 2 32
788648617925197 2 32
801945489931369 2 32
867503506697262 2 32
901185983297092 2 32
908553875897579 2 32
911330492287966 2 32
922543081157156 2 32
937235269701160 2 32
941429409284020 2 32
946134365477233 2 32
947277332018051 1 32
965308966897847 2 32
988023124607496 1 32
997582983634518 1 32
1014984235191284 1 32
1031485123540225 2 32
1033726229981759 1 32
1040770709276695 1 32
1041044739247979 1 32
1045943198757264 2 32
1048389175181739 2 32
1049183981769422 1 32
1054305784582166 2 32
1073409586017080 2 32
1082433905108753 2 32
1097291173628533 2 32
1097735950251571 1 32
1197211303628610 2 32
1207644169250852 1 32
1235650066452275 1 32
